account,date,daily_pnl,avg_trade_size,total_fee,num_trades,prev_day_pnl,rolling_3day_pnl,volatility,sentiment_Extreme Greed,sentiment_Fear,sentiment_Greed,sentiment_Neutral,target
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-15,5389.96219,125.00722627737227,6.5299154,137,13281.73126,6731.325954,4791.481564179074,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-16,13190.248859,131.2383043478261,16.93692959,230,5389.96219,10620.647436333333,5203.06212692199,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-17,4454.939378,112.67668508287292,6.70647033,181,13190.248859,7678.383475666666,5367.543179005938,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-18,3624.489655,124.92068062827224,7.0983362,191,4454.939378,7089.892630666664,4831.136611083124,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-19,1525.329937,197.00485294117647,13.84405958,204,3624.489655,3201.5863233333316,4457.18217922378,True,False,False,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-20,7812.716373,289.6046907216495,20.15432465,194,1525.329937,4320.845321666665,4554.247672769876,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-21,7465.899936,215.33785046728974,8.17682398,107,7812.716373,5601.315415333332,2657.619586291602,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-22,1174.025529,174.83481012658228,4.77912431,79,7465.899936,5484.213945999999,3173.595107722227,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-23,122.889996,212.30473684210526,7.38734551,95,1174.025529,2920.938486999999,3707.088780947469,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-24,1555.956456,282.42354166666667,3.97064897,48,122.889996,950.9573269999987,3702.7848926198258,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-25,1530.919365,284.1157575757576,6.72020595,66,1555.956456,1069.9219389999987,2907.5237594723217,False,False,True,False,1
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-12-26,101.860928,223.8904761904762,6.35717119,84,1530.919365,1062.9122496666653,732.1736257482861,True,False,False,False,1
